City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
278,Acapulco,16.8634,-99.8901,74.98,79,1,4.07,MX,clear sky
279,Lavrentiya,65.5833,-171.0,-10.97,84,27,10.25,RU,scattered clouds
280,Tukrah,32.5341,20.5791,67.98,29,100,34.69,LY,overcast clouds
281,Zhanakorgan,43.9098,67.2495,41.81,82,56,7.2,KZ,moderate rain
282,Namibe,-15.1961,12.1522,72.3,79,86,5.17,AO,overcast clouds
283,Muisne,0.6,-80.0333,77.11,90,77,6.73,EC,light rain
284,Agirish,61.9247,63.0231,-13.74,89,100,7.14,RU,light snow
285,Bosobolo,4.1833,19.9,63.27,30,87,3.53,CD,overcast clouds
286,Broome,42.2506,-75.833,10.4,61,1,10.36,US,clear sky
287,Abay,49.6311,72.8539,33.8,93,75,40.26,KZ,snow
288,Andenes,69.3143,16.1194,30.2,86,75,8.05,NO,light snow
289,Victor Harbor,-35.5667,138.6167,73.0,53,0,13.04,AU,clear sky
290,Kupang,-10.1667,123.5833,86.0,79,40,13.8,ID,scattered clouds
291,Vicuna,-30.0319,-70.7081,59.0,82,0,3.44,CL,clear sky
292,Margate,51.3813,1.3862,32.0,79,100,5.99,GB,light snow
293,Kayes,14.0,-11.0,68.34,23,89,5.12,ML,overcast clouds
294,Ahipara,-35.1667,173.1667,72.59,59,72,9.13,NZ,broken clouds
295,Carnot,4.9409,15.8665,60.19,37,92,0.87,CF,overcast clouds
296,Srednekolymsk,67.45,153.6833,-2.2,83,72,8.37,RU,broken clouds
297,Karratha,-20.7377,116.8463,86.34,51,2,12.28,AU,clear sky
298,Obo,5.3998,26.4869,60.03,31,63,5.39,CF,broken clouds
299,Bhopal,23.2667,77.4,68.0,37,0,3.44,IN,haze
300,Saurimo,-9.6608,20.3916,65.05,93,98,4.23,AO,overcast clouds
301,Zvishavane,-20.3267,30.0665,65.23,91,100,3.85,ZW,overcast clouds
302,Mount Gambier,-37.8333,140.7667,64.4,63,40,14.97,AU,scattered clouds
303,Santiago De Cao,-7.9589,-79.2392,70.41,79,97,8.86,PE,overcast clouds
304,Unai,-16.3575,-46.9061,67.71,91,94,4.92,BR,overcast clouds
305,Nome,64.5011,-165.4064,-4.0,71,1,4.41,US,clear sky
306,Namatanai,-3.6667,152.4333,84.51,73,59,6.93,PG,light rain
307,Corinto,37.9407,22.9573,55.99,53,100,1.99,GR,overcast clouds
308,Atar,20.5169,-13.0499,55.38,41,0,8.25,MR,clear sky
309,Praia,14.9215,-23.5087,68.0,64,75,20.71,CV,broken clouds
310,Asfi,32.2994,-9.2372,57.61,79,12,13.96,MA,few clouds
311,Xai-Xai,-25.0519,33.6442,78.76,86,100,0.47,MZ,light rain
312,Sungairaya,0.7,108.9,85.64,67,91,10.74,ID,overcast clouds
313,Comodoro Rivadavia,-45.8667,-67.5,55.4,82,0,17.0,AR,clear sky
314,Mahon,39.8885,4.2658,53.6,82,0,11.5,ES,clear sky
315,Vardo,70.3705,31.1107,21.2,79,90,16.11,NO,snow
316,Sabang,5.8933,95.3214,82.2,77,10,16.64,ID,clear sky
317,Zharkent,44.1628,80.0,40.71,65,100,0.96,KZ,overcast clouds
318,San Nicolas,18.1725,120.5953,93.2,46,40,4.61,PH,scattered clouds
319,Axim,4.8699,-2.2405,79.81,85,85,7.85,GH,overcast clouds
320,Bayshore Gardens,27.4253,-82.5904,63.0,77,90,6.91,US,overcast clouds
321,Prince Rupert,54.3161,-130.3201,32.0,59,1,10.36,CA,clear sky
